,image_id,image_name,is_training_image,class_id,class_name,Species,Order,Species2,Family,,
0,1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
1,2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
2,3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
3,4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
4,5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
5,6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
6,7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
7,8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
8,9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
9,10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
10,11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
11,12,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
12,13,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
13,14,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
14,15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
15,16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
16,17,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
17,18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
18,19,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
19,20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
20,21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
21,22,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
22,23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
23,24,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
24,25,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
25,26,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
26,27,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
27,28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
28,29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
29,30,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
30,31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
31,32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
32,33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
33,34,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
34,35,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
35,36,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
36,37,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
37,38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
38,39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
39,40,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
40,41,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
41,42,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
42,43,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
43,44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
44,45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
45,46,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
46,47,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
47,48,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
48,49,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
49,50,001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
50,51,001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
51,52,001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
52,53,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
53,54,001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
54,55,001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
55,56,001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
56,57,001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
57,58,001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
58,59,001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,0,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
59,60,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,1,1,001.Black_footed_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
60,61,002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
61,62,002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
62,63,002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
63,64,002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
64,65,002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
65,66,002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
66,67,002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
67,68,002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
68,69,002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
69,70,002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
70,71,002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
71,72,002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
72,73,002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
73,74,002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
74,75,002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
75,76,002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
76,77,002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
77,78,002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
78,79,002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
79,80,002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
80,81,002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
81,82,002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
82,83,002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
83,84,002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
84,85,002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
85,86,002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
86,87,002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
87,88,002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
88,89,002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
89,90,002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
90,91,002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
91,92,002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
92,93,002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
93,94,002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
94,95,002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
95,96,002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
96,97,002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
97,98,002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
98,99,002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
99,100,002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
100,101,002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
101,102,002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
102,103,002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
103,104,002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
104,105,002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
105,106,002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
106,107,002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
107,108,002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,0,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
108,109,002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,1,2,002.Laysan_Albatross,Albatrosses,PROCELLARIIFORMES,,,,
